playerID,adjusted_salary,age,career_length,bats,throws,POS,teamName,career_OPS,career_PA,Career_R,Career_H,Career_HR,career_RBI,Career_BB,Career_SO,Career_IBB,career_TB,career_WAR
kingemi01,297000.0,27.0,2.0,L,L,OF,Seattle Mariners,0.715,764,84,178,13,75,58,96,3,274,0.8400000000000001
lavalmi01,567600.0,27.0,4.0,L,R,C,Pittsburgh Pirates,0.675,1202,77,270,6,119,138,108,24,340,6.78
lagami01,264000.0,28.0,6.0,L,L,1B,St. Louis Cardinals,0.587,399,34,75,13,44,20,102,3,130,-1.1999999999999995
macfami01,165000.0,24.0,1.0,R,R,C,Kansas City Royals,0.711,257,25,60,4,29,23,39,2,88,0.37
marshmi02,2006400.0,28.0,7.0,R,R,OF,Los Angeles Dodgers,0.78,3127,354,784,126,442,203,646,29,1306,9.51
paglimi01,1320000.0,28.0,4.0,L,R,3B,New York Yankees,0.744,2291,272,477,101,321,204,467,32,905,6.03
schmimi01,5940000.0,38.0,16.0,R,R,3B,Philadelphia Phillies,0.912,9890,1487,2204,542,1567,1486,1866,197,4349,107.22
sciosmi01,2640000.0,29.0,8.0,L,R,C,Los Angeles Dodgers,0.702,3295,254,746,35,272,381,184,66,1000,18.61
sharpmi01,165000.0,26.0,1.0,R,R,3B,Los Angeles Dodgers,0.578,206,19,45,0,14,12,32,1,54,0.0799999999999998
stanlmi02,221760.0,25.0,2.0,R,R,C,Texas Rangers,0.702,578,59,126,10,65,71,117,0,177,-0.87
woodami01,165000.0,28.0,3.0,L,R,2B,Chicago White Sox,0.548,245,29,50,1,19,16,18,0,61,-0.33
youngmi01,1042800.0,28.0,6.0,B,R,OF,Philadelphia Phillies,0.76,2050,242,443,71,230,231,452,13,748,6.85
thompmi02,633600.0,29.0,4.0,L,R,OF,Philadelphia Phillies,0.724,1634,210,428,17,109,125,255,10,564,7.95
webstmi01,1452000.0,29.0,5.0,B,L,OF,Washington Nationals,0.764,2188,302,533,40,185,204,301,14,804,10.73
wilsomo01,2376000.0,32.0,8.0,B,R,OF,New York Mets,0.725,4046,570,1061,57,324,230,645,33,1514,19.94
liriane01,198000.0,24.0,1.0,B,R,2B,Toronto Blue Jays,0.638,471,65,111,5,33,27,62,2,146,-0.0399999999999999
santone01,165000.0,26.0,1.0,R,R,C,Washington Nationals,0.683,345,26,73,8,41,24,77,3,121,1.32
caprani01,165000.0,30.0,6.0,R,R,OF,Kansas City Royals,0.491,60,8,9,1,1,5,7,0,13,-0.24
esaskni01,1214400.0,28.0,5.0,R,R,1B,Cincinnati Reds,0.76,2392,255,515,92,319,244,581,14,917,5.01
mcdowod01,660000.0,25.0,3.0,L,L,OF,Texas Rangers,0.733,2045,288,455,56,180,193,385,9,748,8.77
destror01,165000.0,26.0,1.0,B,R,1B,Pittsburgh Pirates,0.528,77,7,12,1,4,10,22,0,16,-0.32
mercaor01,165000.0,26.0,6.0,R,R,C,Oakland Athletics,0.548,467,29,87,4,37,30,66,0,123,-2.03
nixonot01,165000.0,29.0,5.0,B,R,OF,Washington Nationals,0.562,727,134,146,3,34,61,101,0,177,1.08
guilloz01,1419000.0,24.0,3.0,L,R,SS,Chicago White Sox,0.622,2300,251,575,5,170,71,180,7,722,11.09
smithoz01,6177600.0,33.0,10.0,B,R,SS,St. Louis Cardinals,0.652,6812,767,1506,16,500,691,384,62,1886,49.77
virgioz02,165000.0,31.0,8.0,R,R,C,Atlanta Braves,0.74,2535,256,547,97,305,244,447,21,933,9.01
bordepa01,165000.0,25.0,0.0,R,R,C,Toronto Blue Jays,0.733,160,15,42,5,21,3,24,0,69,0.76
dodsopa01,165000.0,28.0,2.0,L,L,1B,Boston Red Sox,0.738,118,12,20,4,10,17,33,1,42,-0.54
sheripa01,905520.0,30.0,7.0,L,R,OF,Detroit Tigers,0.702,2261,270,526,41,221,193,405,17,765,5.33
tablepa01,2112000.0,30.0,7.0,R,R,1B,Cleveland Guardians,0.752,3295,369,861,42,404,275,453,15,1185,7.479999999999999
molitpa01,3696000.0,31.0,10.0,R,R,3B,Milwaukee Brewers,0.795,5836,905,1557,108,525,504,636,33,2268,41.02
oneilpa01,257400.0,25.0,3.0,L,L,OF,Cincinnati Reds,0.744,726,83,167,23,102,57,97,6,284,2.78
rungepa01,283800.0,30.0,7.0,R,R,3B,Atlanta Braves,0.644,411,43,80,4,26,54,75,0,107,0.26
zuvelpa01,165000.0,29.0,6.0,R,R,SS,Cleveland Guardians,0.531,485,31,93,0,14,33,39,1,112,-2.44
guerrpe01,4540800.0,32.0,10.0,R,R,1B,Los Angeles Dodgers,0.888,4265,577,1153,176,615,438,637,83,1907,33.38
incavpe01,726000.0,24.0,2.0,R,R,OF,Texas Rangers,0.801,1636,226,377,79,222,142,506,6,698,5.23
obriepe03,1485000.0,30.0,6.0,L,L,1B,Texas Rangers,0.78,3805,419,914,114,487,404,373,40,1449,18.18
stanipe01,165000.0,25.0,1.0,B,R,OF,Baltimore Orioles,0.626,423,38,91,4,26,36,64,1,115,-0.18
bradlph01,2389200.0,29.0,5.0,R,R,OF,Philadelphia Phillies,0.81,3130,423,799,63,290,312,554,9,1192,15.1
garneph01,990000.0,39.0,15.0,R,R,3B,San Francisco Giants,0.712,6861,780,1594,109,738,564,842,74,2384,29.69
reynorj01,765600.0,29.0,5.0,B,R,OF,Pittsburgh Pirates,0.702,1866,218,445,29,227,133,318,17,655,3.5
bellira01,343200.0,26.0,6.0,R,R,SS,Pittsburgh Pirates,0.543,945,95,185,1,58,72,133,15,215,1.27
palmera01,237600.0,23.0,2.0,L,L,1B,Chicago Cubs,0.803,951,116,257,25,95,62,66,7,404,2.87
ramirra01,2442000.0,30.0,8.0,R,R,SS,Houston Astros,0.648,4398,438,1085,43,360,191,447,23,1435,8.66
santara01,1122000.0,30.0,5.0,R,R,SS,New York Yankees,0.601,2170,185,494,12,153,138,234,34,614,0.56
mullira01,1584000.0,32.0,11.0,L,R,3B,Toronto Blue Jays,0.773,3371,381,818,66,366,359,452,18,1243,16.13
bushra01,924000.0,29.0,6.0,L,L,OF,Minnesota Twins,0.753,2384,275,520,68,289,237,330,36,873,2.23
byersra01,165000.0,23.0,1.0,L,R,OF,San Diego Padres,0.642,27,1,7,0,1,1,10,0,9,0.0099999999999999
kutchra01,165000.0,28.0,2.0,R,R,OF,Boston Red Sox,0.667,232,37,49,7,17,12,48,0,85,1.08
millira01,165000.0,26.0,1.0,R,R,1B,Pittsburgh Pirates,0.767,105,10,18,3,8,21,25,0,32,0.21
readyra01,554400.0,28.0,5.0,R,R,2B,San Diego Padres,0.782,1278,170,297,25,137,149,136,4,468,8.200000000000001
velarra01,165000.0,25.0,1.0,R,R,2B,New York Yankees,0.559,147,19,24,5,13,8,30,0,45,-0.5
knighra01,1386000.0,35.0,14.0,R,R,3B,Detroit Tigers,0.711,5291,490,1311,84,595,343,579,43,1883,13.2
willire01,165000.0,27.0,3.0,R,R,OF,Cleveland Guardians,0.662,420,52,98,5,39,28,76,9,133,-0.76
gonzare01,198000.0,27.0,4.0,R,R,3B,Baltimore Orioles,0.541,386,33,77,3,24,20,55,0,97,0.6399999999999999
hudlere01,165000.0,27.0,4.0,R,R,2B,Washington Nationals,0.646,296,45,68,4,15,12,48,6,101,0.93
palacre01,165000.0,25.0,0.0,R,R,C,Kansas City Royals,0.182,11,2,1,0,0,0,4,0,1,-0.21
quinore01,316800.0,24.0,2.0,R,R,SS,Seattle Mariners,0.666,1393,150,324,26,130,73,199,1,478,0.02
gedmari01,2515199.0,28.0,8.0,L,R,C,Boston Red Sox,0.739,2819,288,683,79,340,178,395,45,1099,12.28
ceronri01,792000.0,34.0,13.0,R,R,C,Boston Red Sox,0.633,3691,325,805,50,354,248,368,6,1134,4.61
dempsri01,660000.0,38.0,19.0,R,R,C,Los Angeles Dodgers,0.669,4888,479,1006,86,419,514,649,9,1494,23.63
leachri01,792000.0,31.0,7.0,L,L,OF,Toronto Blue Jays,0.694,1450,149,344,15,144,123,164,13,480,0.95
renteri01,172920.0,26.0,2.0,R,R,2B,Seattle Mariners,0.521,114,10,22,0,7,3,14,0,33,-0.92
schuri01,435600.0,26.0,4.0,R,R,3B,Baltimore Orioles,0.717,1239,144,285,28,97,103,213,5,443,1.26
wronari01,165000.0,24.0,0.0,R,R,C,Chicago Cubs,0.0,6,0,0,0,0,0,1,0,0,-0.16
henderi01,4672800.0,29.0,9.0,R,L,OF,New York Yankees,0.831,5930,1058,1455,126,504,870,668,26,2156,61.45
jordari02,165000.0,23.0,0.0,R,R,1B,Philadelphia Phillies,0.815,281,41,84,11,43,7,39,2,134,1.75
deerro01,1214400.0,27.0,4.0,R,R,OF,Milwaukee Brewers,0.793,1887,244,379,95,274,239,599,13,737,5.75
duceyro01,165000.0,23.0,1.0,L,R,OF,Toronto Blue Jays,0.684,120,27,26,1,12,13,17,0,36,0.93
nelsoro03,165000.0,24.0,2.0,L,L,1B,San Diego Padres,0.463,70,6,11,1,4,4,33,0,16,-0.6
thompro01,613800.0,26.0,2.0,R,R,2B,San Francisco Giants,0.718,1629,201,385,24,139,122,314,3,562,8.5
alomaro01,165000.0,20.0,0.0,B,R,2B,San Diego Padres,0.71,611,84,145,9,41,47,83,5,208,4.35
kellyro01,176880.0,23.0,1.0,R,R,OF,New York Yankees,0.667,143,21,33,2,14,8,30,0,48,0.8600000000000001
yountro01,3036000.0,32.0,14.0,R,R,OF,Milwaukee Brewers,0.778,9162,1234,2407,187,1021,674,937,58,3615,64.45
allenro02,165000.0,28.0,5.0,R,R,OF,Cleveland Guardians,0.524,54,8,11,0,3,2,11,0,13,-0.42
bookero01,184800.0,29.0,1.0,L,R,SS,St. Louis Cardinals,0.765,95,15,25,0,11,11,10,1,31,0.19
roomero01,165000.0,26.0,0.0,R,R,OF,Chicago Cubs,0.376,16,3,3,0,0,0,4,0,3,-0.4
gantro01,171600.0,23.0,1.0,R,R,OF,Atlanta Braves,0.743,704,94,168,21,69,47,129,4,279,2.0700000000000003
hassero01,792000.0,35.0,10.0,L,R,C,Oakland Athletics,0.748,3187,296,772,60,379,321,288,25,1111,13.87
jonesro02,165000.0,24.0,0.0,L,R,OF,Philadelphia Phillies,0.843,129,15,36,8,26,2,14,0,68,1.09
karkoro01,165000.0,24.0,2.0,R,R,C,Chicago White Sox,0.533,330,30,50,9,29,23,107,0,88,0.5900000000000001
kittlro01,792000.0,30.0,6.0,R,R,OF,Cleveland Guardians,0.779,2393,290,510,145,370,183,602,17,1025,3.13
oestero01,165000.0,32.0,10.0,B,R,2B,Cincinnati Reds,0.682,4158,425,997,41,317,327,605,84,1349,10.92
roeniro01,165000.0,31.0,7.0,B,L,OF,Cincinnati Reds,0.691,1294,141,256,17,113,190,195,14,364,2.93
tinglro01,165000.0,29.0,6.0,R,R,C,Cleveland Guardians,0.379,47,1,6,1,2,2,15,0,9,-0.64
washiro01,165000.0,36.0,11.0,R,R,SS,Cleveland Guardians,0.66,1682,189,413,20,146,65,262,1,581,1.35
rodriru01,165000.0,23.0,2.0,R,R,C,Pittsburgh Pirates,0.5,8,1,1,0,1,0,3,0,3,-0.04
sierrru01,607200.0,22.0,2.0,B,R,OF,Texas Rangers,0.756,1775,224,426,69,255,105,270,17,745,4.8
mormaru01,165000.0,26.0,2.0,R,R,1B,Chicago White Sox,0.636,260,26,58,4,20,19,53,0,77,-0.5
tillmru01,165000.0,27.0,6.0,R,R,OF,San Francisco Giants,0.67,61,11,13,2,9,5,16,0,21,0.1
sandbry01,2217600.0,28.0,7.0,R,R,2B,Chicago Cubs,0.769,4713,652,1219,109,473,355,617,27,1845,31.55
butersa01,165000.0,35.0,8.0,R,R,C,Toronto Blue Jays,0.597,911,63,182,8,76,86,85,4,236,-1.2500000000000002
hornsa01,211200.0,24.0,1.0,L,L,1B,Boston Red Sox,0.825,250,35,53,16,42,28,75,3,108,0.49
alomasa02,165000.0,22.0,0.0,R,R,C,San Diego Padres,0.0,1,0,0,0,0,0,1,0,0,0.0
randasa01,165000.0,27.0,0.0,B,R,1B,Chicago White Sox,0.133,15,1,0,0,1,2,3,0,0,-0.32
bradlsc01,343200.0,28.0,4.0,L,R,C,Seattle Mariners,0.678,1039,106,261,14,107,47,47,6,358,0.84
fletcsc01,1518000.0,29.0,7.0,R,R,2B,Texas Rangers,0.694,3118,359,737,16,259,286,283,6,951,19.97
jordasc01,165000.0,25.0,0.0,R,R,OF,Cleveland Guardians,0.222,10,0,1,0,1,0,3,0,1,-0.16
lusadsc01,165000.0,23.0,1.0,L,L,OF,Detroit Tigers,0.739,72,11,16,2,11,6,11,1,27,0.0799999999999999
madissc01,171600.0,28.0,3.0,B,R,3B,Kansas City Royals,0.442,78,8,10,0,4,7,13,0,15,-0.35
macksh01,194040.0,24.0,1.0,R,R,OF,San Diego Padres,0.643,407,41,86,4,37,32,68,0,118,0.91
turnesh01,165000.0,25.0,0.0,L,R,3B,Philadelphia Phillies,0.446,40,1,6,0,1,5,9,0,6,-0.24
abnersh01,167640.0,22.0,1.0,R,R,OF,San Diego Padres,0.623,138,11,28,4,12,6,27,1,48,-0.44
dunstsh01,547800.0,25.0,3.0,R,R,SS,Chicago Cubs,0.658,1841,215,438,35,164,66,332,17,665,3.18
breamsi01,950400.0,27.0,5.0,L,L,1B,Pittsburgh Pirates,0.746,1927,207,449,45,236,182,241,29,709,6.05
campusi01,165000.0,22.0,0.0,R,R,OF,Toronto Blue Jays,0.641,158,14,31,2,12,9,33,0,51,-0.14
owensp01,1386000.0,27.0,5.0,B,R,SS,Boston Red Sox,0.639,2715,301,580,19,212,235,255,3,795,4.3100000000000005
javiest01,204600.0,24.0,4.0,B,R,OF,Oakland Athletics,0.598,754,85,154,4,52,67,124,4,198,0.85
jeffest01,237600.0,25.0,2.0,B,R,OF,San Diego Padres,0.595,621,81,118,10,36,50,122,2,176,-0.15
balbost01,924000.0,31.0,7.0,R,R,1B,Kansas City Royals,0.746,2794,294,589,147,402,213,696,14,1157,1.29
buechst01,475200.0,26.0,3.0,R,R,3B,Texas Rangers,0.706,1728,189,372,53,183,142,281,12,615,6.56
hendest01,165000.0,35.0,11.0,R,R,OF,Houston Astros,0.765,3916,459,976,68,428,386,677,32,1440,11.48
jeltzst01,567600.0,29.0,5.0,B,R,SS,Philadelphia Phillies,0.566,1612,144,287,1,95,197,277,26,359,-1.0
kempst01,165000.0,33.0,11.0,L,L,OF,Texas Rangers,0.798,4714,581,1128,130,634,576,605,25,1747,19.51
kiefest01,165000.0,27.0,4.0,R,R,3B,Milwaukee Brewers,0.586,245,34,43,7,30,12,63,0,77,-1.21
lakest01,633600.0,31.0,5.0,R,R,C,St. Louis Cardinals,0.604,599,50,132,9,62,21,74,8,187,2.2
lombast01,402600.0,28.0,3.0,R,R,2B,Minnesota Twins,0.652,1394,148,286,19,104,126,196,5,423,4.03
lyonsst01,462000.0,28.0,3.0,L,R,OF,Chicago White Sox,0.663,1420,167,335,12,114,95,207,3,453,1.36
saxst01,2212800.0,28.0,7.0,R,R,2B,Los Angeles Dodgers,0.695,4745,574,1218,30,333,363,406,36,1537,15.96
simmote01,1240800.0,38.0,20.0,B,R,1B,Atlanta Braves,0.785,9685,1074,2472,248,1389,855,694,188,3793,50.33
blockte01,184800.0,28.0,3.0,L,L,OF,Atlanta Braves,0.509,226,14,43,2,10,11,22,3,57,-0.98
francte01,165000.0,29.0,7.0,L,L,1B,Cleveland Guardians,0.665,1579,136,420,13,120,57,99,12,533,-1.5299999999999998
kennete02,2244000.0,32.0,10.0,L,R,C,Baltimore Orioles,0.708,4503,418,1104,103,555,288,730,68,1635,18.05
mcgrite01,174240.0,24.0,1.0,R,R,C,Cincinnati Reds,0.578,206,15,39,3,15,20,48,0,54,0.16
pendlte01,1742400.0,27.0,4.0,B,R,3B,St. Louis Cardinals,0.666,2599,275,623,25,310,178,291,27,839,10.56
puhlte01,2508000.0,31.0,11.0,L,R,OF,Houston Astros,0.739,5004,630,1249,62,397,452,459,45,1739,26.31
steinte01,330000.0,26.0,2.0,R,R,C,Oakland Athletics,0.783,852,111,209,27,111,66,113,4,333,6.16
bosleth01,1056000.0,31.0,11.0,L,L,OF,Kansas City Royals,0.692,1678,175,417,18,146,136,257,14,543,2.6
flannti01,1007601.0,30.0,9.0,L,R,2B,San Diego Padres,0.657,2693,246,601,9,201,264,273,35,750,8.84
jonesti02,165000.0,25.0,0.0,L,R,SS,St. Louis Cardinals,0.59,56,2,14,0,3,4,10,0,14,0.11
laudnti01,778800.0,30.0,7.0,R,R,C,Minnesota Twins,0.687,1998,197,405,71,236,165,488,3,712,3.12
raineti01,4399119.0,28.0,9.0,B,R,OF,Washington Nationals,0.836,5003,793,1319,78,430,612,472,92,1926,42.05
teufeti01,1419000.0,29.0,5.0,R,R,2B,New York Mets,0.759,2208,270,511,49,240,231,287,14,804,12.12
wallati01,2244000.0,30.0,8.0,R,R,3B,Washington Nationals,0.748,4618,479,1100,148,598,314,658,48,1822,28.130000000000003
landrti01,792000.0,33.0,8.0,R,R,OF,Baltimore Orioles,0.662,1107,120,248,13,111,85,196,6,351,1.8200000000000005
benzito01,224400.0,25.0,1.0,B,R,1B,Boston Red Sox,0.744,689,83,165,21,113,44,121,7,271,1.11
brookto01,924000.0,34.0,9.0,R,R,3B,Detroit Tigers,0.666,3903,445,871,66,397,256,553,10,1307,12.36
brunato01,3009600.0,27.0,7.0,R,R,OF,Minnesota Twins,0.781,4414,526,962,188,554,481,681,28,1736,18.07
foleyto02,660000.0,28.0,5.0,L,R,2B,Washington Nationals,0.682,1689,151,402,19,153,127,213,33,566,4.73
